TempField;ValidVotes;AffiliationIdentifier/RegisteredName;PartijTK;%Key_ReportingUnitVotes_8F8DEF71A3FD2A41;Gemeente;ReportingUnitIdentifier;ReportingUnitIdentifier/Id
;371;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;705;AaenHunze;Stembureau Gemeentehuis Gieten (postcode: 9461 BH);1680::SB1
;166;Partij van de Arbeid (P.v.d.A.);PvdA;705;AaenHunze;Stembureau Gemeentehuis Gieten (postcode: 9461 BH);1680::SB1
;209;VVD;VVD;705;AaenHunze;Stembureau Gemeentehuis Gieten (postcode: 9461 BH);1680::SB1
;122;GROENLINKS;GroenLinks;705;AaenHunze;Stembureau Gemeentehuis Gieten (postcode: 9461 BH);1680::SB1
;121;CDA;CDA;705;AaenHunze;Stembureau Gemeentehuis Gieten (postcode: 9461 BH);1680::SB1
;117;Democraten 66 (D66);D66;705;AaenHunze;Stembureau Gemeentehuis Gieten (postcode: 9461 BH);1680::SB1
;122;VVD;VVD;1378;AaenHunze;Stembureau Openbare basisschool Gieten (postcode: 9460 AB);1680::SB2
;293;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;1378;AaenHunze;Stembureau Openbare basisschool Gieten (postcode: 9460 AB);1680::SB2
;134;Partij van de Arbeid (P.v.d.A.);PvdA;1378;AaenHunze;Stembureau Openbare basisschool Gieten (postcode: 9460 AB);1680::SB2
;63;GROENLINKS;GroenLinks;1378;AaenHunze;Stembureau Openbare basisschool Gieten (postcode: 9460 AB);1680::SB2
;92;CDA;CDA;1378;AaenHunze;Stembureau Openbare basisschool Gieten (postcode: 9460 AB);1680::SB2
;69;Democraten 66 (D66);D66;1378;AaenHunze;Stembureau Openbare basisschool Gieten (postcode: 9460 AB);1680::SB2
;377;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;2051;AaenHunze;"Stembureau Zorgcentrum 'Dekelhem' (Gieten) (postcode: 9461 JA)";1680::SB3
;210;Partij van de Arbeid (P.v.d.A.);PvdA;2051;AaenHunze;"Stembureau Zorgcentrum 'Dekelhem' (Gieten) (postcode: 9461 JA)";1680::SB3
;107;VVD;VVD;2051;AaenHunze;"Stembureau Zorgcentrum 'Dekelhem' (Gieten) (postcode: 9461 JA)";1680::SB3
;73;GROENLINKS;GroenLinks;2051;AaenHunze;"Stembureau Zorgcentrum 'Dekelhem' (Gieten) (postcode: 9461 JA)";1680::SB3
;84;CDA;CDA;2051;AaenHunze;"Stembureau Zorgcentrum 'Dekelhem' (Gieten) (postcode: 9461 JA)";1680::SB3
;50;Democraten 66 (D66);D66;2051;AaenHunze;"Stembureau Zorgcentrum 'Dekelhem' (Gieten) (postcode: 9461 JA)";1680::SB3
;107;CDA;CDA;2724;AaenHunze;Stembureau Ontmoetingscentrum Boerhoorn Rolde (postcode: 9451 KD);1680::SB4
;361;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;2724;AaenHunze;Stembureau Ontmoetingscentrum Boerhoorn Rolde (postcode: 9451 KD);1680::SB4
;360;Partij van de Arbeid (P.v.d.A.);PvdA;2724;AaenHunze;Stembureau Ontmoetingscentrum Boerhoorn Rolde (postcode: 9451 KD);1680::SB4
;309;VVD;VVD;2724;AaenHunze;Stembureau Ontmoetingscentrum Boerhoorn Rolde (postcode: 9451 KD);1680::SB4
;168;GROENLINKS;GroenLinks;2724;AaenHunze;Stembureau Ontmoetingscentrum Boerhoorn Rolde (postcode: 9451 KD);1680::SB4
;129;Democraten 66 (D66);D66;2724;AaenHunze;Stembureau Ontmoetingscentrum Boerhoorn Rolde (postcode: 9451 KD);1680::SB4
;308;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;3397;AaenHunze;"Stembureau Zorgcentrum 'Hendrik Kok' (Rolde) (postcode: 9451 CT)";1680::SB5
;251;Partij van de Arbeid (P.v.d.A.);PvdA;3397;AaenHunze;"Stembureau Zorgcentrum 'Hendrik Kok' (Rolde) (postcode: 9451 CT)";1680::SB5
;160;VVD;VVD;3397;AaenHunze;"Stembureau Zorgcentrum 'Hendrik Kok' (Rolde) (postcode: 9451 CT)";1680::SB5
;93;GROENLINKS;GroenLinks;3397;AaenHunze;"Stembureau Zorgcentrum 'Hendrik Kok' (Rolde) (postcode: 9451 CT)";1680::SB5
;78;CDA;CDA;3397;AaenHunze;"Stembureau Zorgcentrum 'Hendrik Kok' (Rolde) (postcode: 9451 CT)";1680::SB5
;82;Democraten 66 (D66);D66;3397;AaenHunze;"Stembureau Zorgcentrum 'Hendrik Kok' (Rolde) (postcode: 9451 CT)";1680::SB5
;78;Partij van de Arbeid (P.v.d.A.);PvdA;4070;AaenHunze;"Stembureau Dorpshuis 'De Eekhof' (Ekehaar) (postcode: 9454 PL)";1680::SB6
;82;VVD;VVD;4070;AaenHunze;"Stembureau Dorpshuis 'De Eekhof' (Ekehaar) (postcode: 9454 PL)";1680::SB6
;96;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;4070;AaenHunze;"Stembureau Dorpshuis 'De Eekhof' (Ekehaar) (postcode: 9454 PL)";1680::SB6
;27;GROENLINKS;GroenLinks;4070;AaenHunze;"Stembureau Dorpshuis 'De Eekhof' (Ekehaar) (postcode: 9454 PL)";1680::SB6
;26;CDA;CDA;4070;AaenHunze;"Stembureau Dorpshuis 'De Eekhof' (Ekehaar) (postcode: 9454 PL)";1680::SB6
;25;Democraten 66 (D66);D66;4070;AaenHunze;"Stembureau Dorpshuis 'De Eekhof' (Ekehaar) (postcode: 9454 PL)";1680::SB6
;27;CDA;CDA;4743;AaenHunze;Stembureau Het Markehuis (Grolloo) (postcode: 9444 XE);1680::SB7
;278;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;4743;AaenHunze;Stembureau Het Markehuis (Grolloo) (postcode: 9444 XE);1680::SB7
;90;Partij van de Arbeid (P.v.d.A.);PvdA;4743;AaenHunze;Stembureau Het Markehuis (Grolloo) (postcode: 9444 XE);1680::SB7
;140;VVD;VVD;4743;AaenHunze;Stembureau Het Markehuis (Grolloo) (postcode: 9444 XE);1680::SB7
;53;GROENLINKS;GroenLinks;4743;AaenHunze;Stembureau Het Markehuis (Grolloo) (postcode: 9444 XE);1680::SB7
;39;Democraten 66 (D66);D66;4743;AaenHunze;Stembureau Het Markehuis (Grolloo) (postcode: 9444 XE);1680::SB7
;107;Partij van de Arbeid (P.v.d.A.);PvdA;5416;AaenHunze;Stembureau Dorpshuis Gasselte (postcode: 9462 RH);1680::SB8
;527;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;5416;AaenHunze;Stembureau Dorpshuis Gasselte (postcode: 9462 RH);1680::SB8
;94;VVD;VVD;5416;AaenHunze;Stembureau Dorpshuis Gasselte (postcode: 9462 RH);1680::SB8
;91;GROENLINKS;GroenLinks;5416;AaenHunze;Stembureau Dorpshuis Gasselte (postcode: 9462 RH);1680::SB8
;49;CDA;CDA;5416;AaenHunze;Stembureau Dorpshuis Gasselte (postcode: 9462 RH);1680::SB8
;61;Democraten 66 (D66);D66;5416;AaenHunze;Stembureau Dorpshuis Gasselte (postcode: 9462 RH);1680::SB8
;227;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;6089;AaenHunze;Stembureau MFC De Spil Gasselternijveen (postcode: 9514 CA);1680::SB9
;247;Partij van de Arbeid (P.v.d.A.);PvdA;6089;AaenHunze;Stembureau MFC De Spil Gasselternijveen (postcode: 9514 CA);1680::SB9
;45;VVD;VVD;6089;AaenHunze;Stembureau MFC De Spil Gasselternijveen (postcode: 9514 CA);1680::SB9
;54;GROENLINKS;GroenLinks;6089;AaenHunze;Stembureau MFC De Spil Gasselternijveen (postcode: 9514 CA);1680::SB9
;114;CDA;CDA;6089;AaenHunze;Stembureau MFC De Spil Gasselternijveen (postcode: 9514 CA);1680::SB9
;75;Democraten 66 (D66);D66;6089;AaenHunze;Stembureau MFC De Spil Gasselternijveen (postcode: 9514 CA);1680::SB9
;84;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;6762;AaenHunze;Stembureau Dorpshuis Gasselternijveenschemond (postcode: 9515 PE);1680::SB10
;75;Partij van de Arbeid (P.v.d.A.);PvdA;6762;AaenHunze;Stembureau Dorpshuis Gasselternijveenschemond (postcode: 9515 PE);1680::SB10
;28;VVD;VVD;6762;AaenHunze;Stembureau Dorpshuis Gasselternijveenschemond (postcode: 9515 PE);1680::SB10
;30;GROENLINKS;GroenLinks;6762;AaenHunze;Stembureau Dorpshuis Gasselternijveenschemond (postcode: 9515 PE);1680::SB10
;48;CDA;CDA;6762;AaenHunze;Stembureau Dorpshuis Gasselternijveenschemond (postcode: 9515 PE);1680::SB10
;60;Democraten 66 (D66);D66;6762;AaenHunze;Stembureau Dorpshuis Gasselternijveenschemond (postcode: 9515 PE);1680::SB10
;78;Democraten 66 (D66);D66;7435;AaenHunze;Stembureau Dorpshuis Ous Hoes (Gieterveen) (postcode: 9511 PM);1680::SB11
;109;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;7435;AaenHunze;Stembureau Dorpshuis Ous Hoes (Gieterveen) (postcode: 9511 PM);1680::SB11
;99;Partij van de Arbeid (P.v.d.A.);PvdA;7435;AaenHunze;Stembureau Dorpshuis Ous Hoes (Gieterveen) (postcode: 9511 PM);1680::SB11
;71;VVD;VVD;7435;AaenHunze;Stembureau Dorpshuis Ous Hoes (Gieterveen) (postcode: 9511 PM);1680::SB11
;33;GROENLINKS;GroenLinks;7435;AaenHunze;Stembureau Dorpshuis Ous Hoes (Gieterveen) (postcode: 9511 PM);1680::SB11
;64;CDA;CDA;7435;AaenHunze;Stembureau Dorpshuis Ous Hoes (Gieterveen) (postcode: 9511 PM);1680::SB11
;42;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;46;Partij van de Arbeid (P.v.d.A.);PvdA;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;12;VVD;VVD;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;11;GROENLINKS;GroenLinks;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;6;CDA;CDA;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;51;Democraten 66 (D66);D66;8108;AaenHunze;Stembureau Dorpshuis De Kiep Eexterveenscheka. (postcode: 9659 PL);1680::SB12
;49;Partij van de Arbeid (P.v.d.A.);PvdA;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;60;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;12;VVD;VVD;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;18;GROENLINKS;GroenLinks;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;2;CDA;CDA;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;66;Democraten 66 (D66);D66;8781;AaenHunze;Stembureau Multifunctioneel centrum De Badde (postcode: 9654 PP);1680::SB13
;45;Combinatie Gemeentebelangen;Combinatie Gemeentebelangen;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;60;Democraten 66 (D66);D66;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;6;CDA;CDA;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;56;Partij van de Arbeid (P.v.d.A.);PvdA;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;44;VVD;VVD;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;16;GROENLINKS;GroenLinks;9454;AaenHunze;Stembureau Gemschapshuis De Spiker Nieuw-Annerveen (postcode: 9657 PD);1680::SB14
;53;VVD;VVD;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
;16;CDA;CDA;10127;AaenHunze;"Stembureau Dorpshuis 't Achterhoes Eexterveen (postcode: 9658 PH)";1680::SB15
